scenario,name,arm,n_seeds,mean_error_pct,sd_error_pct,rmse_error_pct,mean_error_vs_oracle_pct,rmse_vs_oracle_pct
S-A,random_forest_poisson__per_dy__raw__two_stage,shift_dy_bs1,30,-26.074970839110737,6.273398966600863,26.79454772339861,-26.644539025761453,27.197374157809715
S-A,random_forest_poisson__per_dy__raw__two_stage,shift_global,30,-26.107592130335455,5.963886895792347,26.757965459271457,-26.66923882358041,27.177294082733333
S-A,random_forest_poisson__single_model__raw__two_stage,cv_dy,30,-13.636253539782789,9.029396784122675,16.27143970305617,-14.358740099510841,16.223429798490457
S-A,random_forest_poisson__single_model__raw__two_stage,cv_dy_bs1,30,-10.077585687555315,9.485647497138187,13.730840886437056,-10.801926299666492,13.61330297377876
S-A,random_forest_poisson__single_model__raw__two_stage,cv_dy_bsmean,30,-10.607741872041764,9.692668834002951,14.259748330364454,-11.342532725053939,14.091608955800607
S-A,random_forest_poisson__single_model__raw__two_stage,cv_dy_heur,30,-12.525445655522507,9.080675498571503,15.381704526139465,-13.24916587361314,15.30950706085693
S-A,random_forest_poisson__single_model__raw__two_stage,cv_dy_zcv,30,-7.3947074661866035,10.160299872076097,12.428690017507952,-8.125132447190575,12.186696861428382
S-A,random_forest_poisson__single_model__raw__two_stage,cv_global,30,-6.4871294181664165,10.007506632543457,11.785359453792433,-7.237186638247246,11.387198205660981
S-A,random_forest_poisson__single_model__raw__two_stage,cv_type,30,-5.719992038850608,9.256753341890922,10.749397282764406,-6.46507323674843,10.34170648559358
S-A,random_forest_poisson__single_model__raw__two_stage,cv_type_bs1,30,-5.902667296241573,9.486093166692548,11.0375682402595,-6.637906467861737,10.706291543140576
S-A,random_forest_poisson__single_model__raw__two_stage,duan,30,-6.871124879216253,10.227158832207829,12.178696247642886,-7.607708244575627,11.891992123624345
S-A,random_forest_poisson__single_model__raw__two_stage,insample_global,30,-6.303958171290246,10.028783469529758,11.703154983798168,-7.04734739143494,11.352294316361878
S-A,random_forest_poisson__single_model__raw__two_stage,iso_global,30,-7.537438191199438,8.964087930909303,11.596954392057276,-8.272656323928432,11.372245989532917
S-A,random_forest_poisson__single_model__raw__two_stage,none,30,-6.871124879216253,10.227158832207829,12.178696247642886,-7.607708244575627,11.891992123624345
S-A,random_forest_poisson__single_model__raw__two_stage,paper,30,-6.871124879216253,10.227158832207829,12.178696247642886,-7.607708244575627,11.891992123624345
S-A,random_forest_poisson__single_model__raw__two_stage,shift_dy_bs1,30,-10.07586886340428,9.485786174481598,13.729673511130551,-10.800216185525613,13.612066262932576
S-A,random_forest_poisson__single_model__raw__two_stage,shift_global,30,-6.48662939537956,10.007436240756837,11.785026446953285,-7.23669297304584,11.386802713410894
S-B,chain_ladder_rbns_cohort,none,10,-34.2171522385318,2.7350629402826,34.315390419947704,-34.39214859160131,34.55924078456253
S-B,chain_ladder_total,none,10,-34.063212284882376,2.19356611844747,34.12671959402723,,
S-B,random_forest__per_dy__log1p__two_stage,cv_dy,10,-36.73654328583604,6.093266778223315,37.18855633954678,-36.95649434096511,37.37961797984548
S-B,random_forest__per_dy__log1p__two_stage,cv_dy_bs1,10,-39.14973178934046,5.216746854171797,39.46130385762431,-39.366267029511654,39.64319761170873
S-B,random_forest__per_dy__log1p__two_stage,cv_dy_bsmean,10,-38.33544170328908,4.741409528101738,38.59843207266497,-38.55956139238977,38.78004405451377
S-B,random_forest__per_dy__log1p__two_stage,cv_dy_heur,10,-38.540567423020406,5.416555074305906,38.88162161322585,-38.80382747029084,39.03681098285153
S-B,random_forest__per_dy__log1p__two_stage,cv_dy_zcv,10,-37.053284978966516,5.841568000168778,37.46541675683112,-37.26911402312438,37.65628436388798
S-B,random_forest__per_dy__log1p__two_stage,cv_global,10,-36.73654328583604,6.093266778223315,37.18855633954678,-36.95649434096511,37.37961797984548
S-B,random_forest__per_dy__log1p__two_stage,cv_type,10,-35.0827985516656,7.0370178771126595,35.71232858214755,-35.306933282278685,35.9066877749771
S-B,random_forest__per_dy__log1p__two_stage,cv_type_bs1,10,-39.07257928020222,6.1121887623199544,39.500498957953624,-39.286429516273685,39.68291402227863
S-B,random_forest__per_dy__log1p__two_stage,duan,10,-28.751699318605525,10.830120589218815,30.53232016219567,-28.957650097263674,30.796207881455377
S-B,random_forest__per_dy__log1p__two_stage,insample_global,10,-41.54165891016987,4.3354301875820775,41.7447695457665,-41.72912167322906,41.934103726268134
S-B,random_forest__per_dy__log1p__two_stage,iso_global,10,-34.67318265908443,6.019610364041156,35.140314935293596,-34.875019283368765,35.35421571431877
S-B,random_forest__per_dy__log1p__two_stage,none,10,-65.72759098867314,2.6424116496947625,65.7753777835453,-65.8491654621208,65.89097369137185
S-B,random_forest__per_dy__log1p__two_stage,paper,10,-37.411780225686655,6.166404264267091,37.866388619069724,-37.692486077690475,38.009063608816746
S-B,random_forest__per_dy__log1p__two_stage,shift_dy_bs1,10,-39.15960571732204,5.213153674631388,39.47067258165119,-39.37611090315734,39.65254899222123
S-B,random_forest__per_dy__log1p__two_stage,shift_global,10,-36.754734520457454,6.084983063835598,37.205306431579835,-36.97466350931592,37.396300571646876
S-B,random_forest__single_model__log1p__two_stage,cv_dy,10,-21.794480583476556,8.821355738261808,23.34596473179904,-22.08064210715134,23.482022494735865
S-B,random_forest__single_model__log1p__two_stage,cv_dy_bs1,10,-25.19047021197426,8.107920518382787,26.33864702522766,-25.495481034352828,26.430370933084646
S-B,random_forest__single_model__log1p__two_stage,cv_dy_bsmean,10,-19.24376214505186,8.519878594849585,20.87227538241122,-19.536478975338163,20.980023744871737
S-B,random_forest__single_model__log1p__two_stage,cv_dy_heur,10,-22.943832025800383,8.72265998392478,24.390484732858212,-23.277395841478835,24.419395233365783
S-B,random_forest__single_model__log1p__two_stage,cv_dy_zcv,10,-22.205841929466576,9.151992558829686,23.842870775425563,-22.48683000687896,23.98517415698395
